[info] Benchmark                                    (size)   Mode  Cnt          Score          Error  Units
[info] ArrayOfIntsReading.jsoniterScala             100000  thrpt    5       4129.110 ±       24.227  ops/s
[info] ArrayOfIntsReading.jsoniterScala            1000000  thrpt    5        412.145 ±        9.157  ops/s
[info] ArrayOfIntsReading.simdjsonJava                   1  thrpt    5   15029304.911 ±  1508905.162  ops/s
[info] ArrayOfIntsReading.simdjsonJava                  10  thrpt    5    8674252.356 ±   443961.516  ops/s
[info] ArrayOfIntsReading.simdjsonJava                 100  thrpt    5    2031218.253 ±    61362.259  ops/s
[info] ArrayOfIntsReading.simdjsonJava                1000  thrpt    5     174946.389 ±    16883.590  ops/s
[info] ArrayOfIntsReading.simdjsonJava               10000  thrpt    5      25816.229 ±     2364.572  ops/s
[info] ArrayOfIntsReading.simdjsonJava              100000  thrpt    5       2542.692 ±       33.826  ops/s
[info] ArrayOfIntsReading.simdjsonJava             1000000  thrpt    5        242.605 ±        4.551  ops/s
[info] ArrayOfLongsReading.jsoniterScala                 1  thrpt    5  144479477.357 ± 16423150.249  ops/s
[info] ArrayOfLongsReading.jsoniterScala                10  thrpt    5   21541976.406 ±   672293.491  ops/s
[info] ArrayOfLongsReading.jsoniterScala               100  thrpt    5    2743713.399 ±    17263.628  ops/s
[info] ArrayOfLongsReading.jsoniterScala              1000  thrpt    5     263585.725 ±     1538.501  ops/s
[info] ArrayOfLongsReading.jsoniterScala             10000  thrpt    5      25588.520 ±      213.412  ops/s
[info] ArrayOfLongsReading.jsoniterScala            100000  thrpt    5       2683.125 ±       34.888  ops/s
[info] ArrayOfLongsReading.jsoniterScala           1000000  thrpt    5        268.322 ±        9.987  ops/s
[info] ArrayOfLongsReading.simdjsonJava                  1  thrpt    5   15239255.282 ±   811517.762  ops/s
[info] ArrayOfLongsReading.simdjsonJava                 10  thrpt    5    7658433.565 ±   120594.898  ops/s
[info] ArrayOfLongsReading.simdjsonJava                100  thrpt    5    1648975.617 ±    16928.725  ops/s
[info] ArrayOfLongsReading.simdjsonJava               1000  thrpt    5     163499.487 ±     2337.098  ops/s
[info] ArrayOfLongsReading.simdjsonJava              10000  thrpt    5      15402.254 ±      775.501  ops/s
[info] ArrayOfLongsReading.simdjsonJava             100000  thrpt    5       1534.614 ±       35.577  ops/s
[info] ArrayOfLongsReading.simdjsonJava            1000000  thrpt    5        148.629 ±        9.382  ops/s
[info] ArrayOfShortsReading.jsoniterScala                1  thrpt    5  215519205.688 ± 23964442.573  ops/s
[info] ArrayOfShortsReading.jsoniterScala               10  thrpt    5   36065770.492 ±  5200236.437  ops/s
[info] ArrayOfShortsReading.jsoniterScala              100  thrpt    5    6044396.887 ±   109805.282  ops/s
[info] ArrayOfShortsReading.jsoniterScala             1000  thrpt    5     635417.617 ±    13740.227  ops/s
[info] ArrayOfShortsReading.jsoniterScala            10000  thrpt    5      56392.046 ±      729.926  ops/s
[info] ArrayOfShortsReading.jsoniterScala           100000  thrpt    5       5899.067 ±       49.563  ops/s
[info] ArrayOfShortsReading.jsoniterScala          1000000  thrpt    5        584.148 ±       12.269  ops/s
[info] ArrayOfShortsReading.simdjsonJava                 1  thrpt    5   13141892.316 ±  1085242.262  ops/s
[info] ArrayOfShortsReading.simdjsonJava                10  thrpt    5   11753834.940 ±   473225.950  ops/s
[info] ArrayOfShortsReading.simdjsonJava               100  thrpt    5    2345736.800 ±    79721.325  ops/s
[info] ArrayOfShortsReading.simdjsonJava              1000  thrpt    5     281859.137 ±    11547.589  ops/s
[info] ArrayOfShortsReading.simdjsonJava             10000  thrpt    5      34854.771 ±      842.362  ops/s
[info] ArrayOfShortsReading.simdjsonJava            100000  thrpt    5       3297.706 ±       56.319  ops/s
[info] ArrayOfShortsReading.simdjsonJava           1000000  thrpt    5        293.921 ±       28.258  ops/s
[info] StringOfAsciiCharsReading.jsoniterScala           1  thrpt    5  137819676.734 ±  7539915.697  ops/s
