[info] Benchmark                                    (size)   Mode  Cnt          Score         Error  Units
[info] ArrayOfIntsReading.jsoniterScala             100000  thrpt    5       1115.000 ±       1.717  ops/s
[info] ArrayOfIntsReading.jsoniterScala            1000000  thrpt    5        113.991 ±       1.272  ops/s
[info] ArrayOfIntsReading.simdjsonJava                   1  thrpt    5   10881349.712 ±  187309.142  ops/s
[info] ArrayOfIntsReading.simdjsonJava                  10  thrpt    5    4120123.534 ±   97853.139  ops/s
[info] ArrayOfIntsReading.simdjsonJava                 100  thrpt    5     718356.722 ±   32929.284  ops/s
[info] ArrayOfIntsReading.simdjsonJava                1000  thrpt    5      78773.885 ±    1453.547  ops/s
[info] ArrayOfIntsReading.simdjsonJava               10000  thrpt    5       7768.065 ±     121.619  ops/s
[info] ArrayOfIntsReading.simdjsonJava              100000  thrpt    5        758.529 ±      27.056  ops/s
[info] ArrayOfIntsReading.simdjsonJava             1000000  thrpt    5         72.726 ±       0.547  ops/s
[info] ArrayOfLongsReading.jsoniterScala                 1  thrpt    5   55351029.542 ± 1880302.371  ops/s
[info] ArrayOfLongsReading.jsoniterScala                10  thrpt    5    7106828.458 ±   72710.761  ops/s
[info] ArrayOfLongsReading.jsoniterScala               100  thrpt    5     853559.047 ±    6208.558  ops/s
[info] ArrayOfLongsReading.jsoniterScala              1000  thrpt    5      75575.790 ±     951.218  ops/s
[info] ArrayOfLongsReading.jsoniterScala             10000  thrpt    5       7267.044 ±     152.408  ops/s
[info] ArrayOfLongsReading.jsoniterScala            100000  thrpt    5        778.162 ±       2.011  ops/s
[info] ArrayOfLongsReading.jsoniterScala           1000000  thrpt    5         80.142 ±       2.793  ops/s
[info] ArrayOfLongsReading.simdjsonJava                  1  thrpt    5    9949708.776 ±  212728.233  ops/s
[info] ArrayOfLongsReading.simdjsonJava                 10  thrpt    5    3169824.328 ±   29208.615  ops/s
[info] ArrayOfLongsReading.simdjsonJava                100  thrpt    5     508433.825 ±   19020.450  ops/s
[info] ArrayOfLongsReading.simdjsonJava               1000  thrpt    5      52009.675 ±    1340.263  ops/s
[info] ArrayOfLongsReading.simdjsonJava              10000  thrpt    5       5160.986 ±      54.266  ops/s
[info] ArrayOfLongsReading.simdjsonJava             100000  thrpt    5        497.312 ±      32.891  ops/s
[info] ArrayOfLongsReading.simdjsonJava            1000000  thrpt    5         48.882 ±       1.124  ops/s
[info] ArrayOfShortsReading.jsoniterScala                1  thrpt    5  106738175.047 ±  751944.584  ops/s
[info] ArrayOfShortsReading.jsoniterScala               10  thrpt    5   13505106.873 ±  157928.426  ops/s
[info] ArrayOfShortsReading.jsoniterScala              100  thrpt    5    1601416.835 ±   33156.305  ops/s
[info] ArrayOfShortsReading.jsoniterScala             1000  thrpt    5     168573.547 ±     640.250  ops/s
[info] ArrayOfShortsReading.jsoniterScala            10000  thrpt    5      15449.948 ±     362.875  ops/s
[info] ArrayOfShortsReading.jsoniterScala           100000  thrpt    5       1696.514 ±      17.538  ops/s
[info] ArrayOfShortsReading.jsoniterScala          1000000  thrpt    5        168.825 ±       0.869  ops/s
[info] ArrayOfShortsReading.simdjsonJava                 1  thrpt    5   12765190.675 ±  220390.147  ops/s
[info] ArrayOfShortsReading.simdjsonJava                10  thrpt    5    6359268.875 ±  333157.154  ops/s
[info] ArrayOfShortsReading.simdjsonJava               100  thrpt    5     957848.585 ±   10651.241  ops/s
[info] ArrayOfShortsReading.simdjsonJava              1000  thrpt    5     107423.816 ±    1737.598  ops/s
[info] ArrayOfShortsReading.simdjsonJava             10000  thrpt    5      10604.693 ±      52.928  ops/s
[info] ArrayOfShortsReading.simdjsonJava            100000  thrpt    5       1015.194 ±      82.074  ops/s
[info] ArrayOfShortsReading.simdjsonJava           1000000  thrpt    5        100.270 ±       0.834  ops/s
[info] StringOfAsciiCharsReading.jsoniterScala           1  thrpt    5   76433599.697 ± 1647782.424  ops/s
[info] StringOfAsciiCharsReading.jsoniterScala          10  thrpt    5   56981206.751 ± 1213274.128  ops/s
[info] StringOfAsciiCharsReading.jsoniterScala         100  thrpt    5   15644695.702 ±  221627.440  ops/s
